code,climate_station,climate_zone,Story,ssp1_1945,ssp1_1950,ssp1_1960,ssp1_1970,ssp1_1980,ssp1_1990,ssp1_2005,ssp1_2010,ssp1_2012,ssp1_2018,ssp2_1945,ssp2_2010,ssp2_2018,ssp5_1945,ssp5_2010,ssp5_2018,hvac_type,heating_start,heating_end,cooling_start,cooling_end,Longitude_city,Latitude_city,Climate Code,Longitude_station,Latitude_station,High_station,severe cold_boiler Gas,severe cold_cogeneration,severe cold_Gshp nocooling,cold_Gshp,cold_cogeneration Ptac,cold_boiler Gas Ptac,winter cold_Ptac,winter cold_Ashp,winter warm_Ptac noheating,winter warm_Ashp noheating,severe cold_boiler Gas,severe cold_Gshp nocooling,cold_Gshp,cold_boiler Gas Ptac,winter cold_Ptac,winter cold_Ashp,winter warm_Ptac noheating,winter warm_Ashp noheating
10029,230,cold B,13,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,117.7173988,39.00941577,5,117.07,39.08,2.5,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10030,230,cold B,8,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,117.8323933,39.33695643,5,117.07,39.08,2.5,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10031,230,cold B,7,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,116.9804686,38.95337069,5,117.07,39.08,2.5,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10032,10,cold B,8,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,117.4145787,40.05150879,5,116.87,40.38,71.8,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10033,78,cold B,11,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,114.5215319,38.04831193,5,114.42,38.03,81,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10034,77,cold B,9,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,115.2244508,37.94930904,5,115.73,38.23,19,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10035,76,cold A,10,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,118.1864595,39.63658372,4,118.88,39.43,10,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10036,76,cold A,9,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,119.5259672,39.8947272,4,118.88,39.43,10,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10037,79,cold B,7,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,114.5456282,36.63126273,5,114.5,37.07,77.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10038,79,cold B,6,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,114.5114623,37.07668595,5,114.5,37.07,77.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
